"June 23, 2021","8x sun salutations free flow
https://www.alomoves.com/series/full-moon-flow/workouts/11039
https://www.alomoves.com/series/handstand-flow/workouts/9669
https://www.alomoves.com/series/detoxifying-stretch/workouts/12486","Y


Y","<< great simple heart opening flow — great half moon


<< love this detox yin session for hips and lower back"
"June 24, 2021","https://www.alomoves.com/series/full-moon-flow/workouts/11039
8x sun salutations free flow",,
"June 25, 2021","8x sun salutations free flow
https://www.alomoves.com/series/flow-state/workouts/11610",Y,<<< OMG i LOVE this patty beach inversion flow
"June 26, 2021","4x sun salutations free flow
https://www.alomoves.com/series/flow-state/workouts/11610 (1/3 of this class)",,
"June 27, 2021",,,
"June 28, 2021","8x sun salutations free flow
y7 class",,<<< live in person in studio with other humans OMG great
"June 29, 2021","8x sun salutations free flow
y7 class",,
"June 30, 2021","8x sun salutations free flow
y7 class",,
"July 1, 2021",https://www.alomoves.com/series/pure-flexibility-flows/workouts/7633,Y,<<< solid flexibility oriented flow. def flowy but not too intense. i feel like im often looking for less taxing flexibility flows like this and cant find them. remember this ashley class.
"July 2, 2021","2x sun salutations free flow
https://www.alomoves.com/series/power-yoga-flow/workouts/9671",,
"July 3, 2021","https://www.alomoves.com/series/flow-state/workouts/11610
8x sun salutation free flow
https://www.alomoves.com/series/soothing-stretch/workouts/12628",,
"July 4, 2021","4x sun salutations free flow
handstand free flow",,
"July 5, 2021","8x sun salutations free flow
handstands free flow
https://www.alomoves.com/series/restorative-reset/workouts/9396",,
"July 6, 2021","warmup and inversion free flow
https://www.alomoves.com/series/marinate/workouts/6932",,
"July 7, 2021","8x sun salutations free flow
y7 class
https://www.alomoves.com/series/awaken-your-practice/workouts/12243
https://www.alomoves.com/series/chill/workouts/10444","Y
Y","<< patty inversion flow with revolved warrior 3
<< chiiiil mc yogi stretch"
"July 8, 2021","y7 class
long inversion free flow
https://www.alomoves.com/series/seven/workouts/10285",,
"July 9, 2021","8x sun salutations free flow
long inversion free flow
https://www.alomoves.com/series/simple-mobility/workouts/9419",Y,<< solid solid patrick beach hip mobility and flexibility
"July 10, 2021",1x sun salutation,,
"July 11, 2021",2x sun salutations,,
"July 12, 2021",https://www.alomoves.com/series/yoga-for-beginners/workouts/11459,,
"July 13, 2021","https://www.alomoves.com/series/yoga-for-beginners/workouts/11459
https://www.alomoves.com/series/yoga-for-beginners/workouts/11457
8x sun salutations free flow
https://www.alomoves.com/series/posture-clinic-pigeon-pose/workouts/11596
https://www.alomoves.com/series/alo-in-the-wild-new-york/workouts/12899
https://www.alomoves.com/series/healthy-hips-and-hamstrings/workouts/11366","Y




Y","<< simple, lovely beginner asanas w patty




<< Elanora king pigeon clinic bangs"
